period,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115011190,3,4,6,8,11,12,17,19,21,34,35,41,43,47,55,59,67,74,77,79
115011191,1,2,8,9,15,17,20,24,29,32,34,38,46,49,52,54,58,69,74,79
115011192,2,5,13,15,17,20,22,24,26,28,29,34,36,46,49,57,60,66,67,73
115011193,3,9,18,19,23,29,33,35,36,39,46,48,49,50,51,59,61,62,69,79
115011194,10,11,15,16,20,24,26,28,32,33,38,49,50,56,57,65,68,71,75,80
115011195,1,3,5,10,11,16,27,32,38,40,43,49,50,56,57,59,61,71,74,77
115011196,4,6,8,15,17,19,20,29,32,34,36,45,49,58,64,65,66,69,72,79
115011197,4,10,13,16,24,26,28,29,33,38,39,41,48,52,53,57,58,65,66,79
115011198,2,6,12,16,18,20,28,32,41,43,44,49,51,59,64,68,70,75,77,78
115011199,4,7,9,16,23,26,30,36,39,43,54,55,64,67,70,71,73,74,75,79
115011200,1,3,4,16,22,26,28,36,47,51,54,55,60,61,66,68,69,72,74,75
115011201,4,7,8,11,19,20,22,25,30,45,50,51,53,54,56,59,66,67,75,80
115011202,4,6,16,18,20,22,24,28,31,38,41,42,43,45,52,63,64,65,74,76
115011203,3,9,11,16,19,28,30,33,37,46,53,57,61,63,64,65,66,67,71,72
115011204,2,4,5,12,18,22,23,26,29,30,35,37,38,43,48,51,52,58,62,67
115011205,4,6,7,10,16,20,22,34,36,37,40,44,45,47,51,52,57,61,69,78
115011206,2,4,6,8,11,13,16,22,30,35,36,37,38,39,41,53,68,70,77,78
115011207,5,7,9,13,15,18,25,34,38,43,47,48,49,55,58,59,67,71,72,75
115011208,3,10,14,19,24,25,27,34,36,37,39,42,49,54,58,62,66,68,72,73
115011209,1,7,8,9,10,12,16,17,19,22,23,28,35,41,47,50,57,63,65,79
115011210,3,7,11,15,17,21,33,42,44,56,60,61,62,64,67,70,71,74,76,78
115011211,2,3,8,12,14,16,17,26,29,33,37,46,47,48,52,56,57,61,64,80
115011212,5,6,15,20,22,24,32,37,41,44,47,49,51,53,55,59,61,62,65,69
115011213,4,6,21,23,24,26,34,40,45,48,49,50,52,55,59,62,65,68,72,73
115011214,3,4,8,11,12,15,23,35,37,39,40,41,48,53,57,60,65,67,72,75
115011215,7,13,14,17,18,21,23,24,30,39,42,46,50,51,55,57,59,66,68,78
115011216,3,5,7,13,14,15,20,21,22,24,25,27,28,30,52,56,66,68,71,77
115011217,1,2,4,8,10,12,15,16,17,21,27,56,60,61,66,71,74,76,78,79
115011218,4,5,6,12,18,19,25,26,28,37,40,46,47,50,59,64,70,71,74,80
115011219,4,6,9,11,14,16,18,22,23,28,30,33,36,38,55,57,64,67,72,80
115011220,2,4,5,9,13,22,33,44,45,47,48,52,55,59,62,71,72,76,78,79
115011221,3,5,6,11,13,14,21,23,29,31,37,38,41,43,46,47,56,65,71,74
115011222,3,5,10,11,12,14,18,24,34,38,39,42,54,55,62,70,73,74,76,79
115011223,2,6,7,8,13,16,19,20,24,28,31,36,42,47,50,61,64,65,69,76
115011224,1,2,3,4,6,11,18,27,31,32,34,35,36,37,42,44,45,47,53,58
115011225,3,4,6,9,10,11,20,22,25,29,38,39,41,52,60,65,66,72,73,77
115011226,2,3,5,9,15,18,19,23,24,32,38,40,42,44,46,50,51,53,62,67
115011227,3,4,6,7,11,13,14,23,26,33,35,36,41,49,53,61,62,72,74,75
115011228,3,5,6,7,14,15,17,24,42,44,45,50,53,61,65,66,69,70,71,74
115011229,4,6,8,16,17,19,29,31,32,43,44,50,51,52,56,58,61,62,69,71
115011230,1,3,4,5,7,14,21,24,26,33,35,38,43,44,46,56,60,65,70,78
115011231,1,5,6,7,8,10,16,22,27,28,30,40,43,47,48,52,62,63,78,80
115011232,2,6,7,10,13,15,16,18,19,25,30,32,45,51,57,59,61,72,73,74
115011233,2,4,6,9,10,13,14,18,28,32,34,36,42,48,52,56,59,60,68,71
115011234,4,6,16,17,19,20,22,23,29,30,31,32,37,42,44,45,55,59,61,63
115011235,5,7,10,15,20,25,31,32,44,45,47,49,50,53,55,60,62,64,74,78
115011236,3,12,17,23,24,26,27,30,32,34,37,39,45,47,55,64,65,69,73,80
115011237,3,7,11,12,14,15,22,27,29,31,36,40,41,42,47,49,53,66,75,76
115011238,3,6,8,10,16,17,18,20,22,25,31,33,34,35,43,58,61,63,64,70
115011239,2,3,4,7,12,16,20,22,23,26,29,31,42,43,47,55,59,63,64,65
115011240,3,6,7,9,13,17,18,20,24,25,33,36,38,41,51,57,65,67,74,78
115011241,4,5,8,10,14,34,36,39,42,47,51,53,56,59,60,61,64,65,66,74
115011242,1,3,4,6,7,18,21,24,25,26,29,30,34,42,44,46,50,52,56,77
115011243,2,7,13,16,20,35,37,38,39,40,43,46,51,53,56,59,60,65,67,74
115011244,7,9,13,19,20,28,31,32,35,39,41,43,45,49,51,54,60,62,71,73
115011245,3,5,10,11,12,16,19,23,25,28,30,33,35,39,41,49,69,71,72,80
115011246,4,5,11,22,29,30,32,35,40,41,49,56,58,60,62,63,65,68,74,75
115011247,3,6,8,11,20,22,24,28,29,33,34,44,46,50,55,57,63,72,77,79
115011248,3,8,14,17,19,21,22,28,29,32,36,38,44,47,56,65,67,71,72,73
115011249,1,2,4,5,6,9,26,27,29,33,37,38,43,44,46,54,57,68,69,74
115011250,3,10,17,22,23,25,28,30,32,47,48,53,57,60,63,65,68,70,77,80
115011251,4,5,6,7,15,19,24,32,34,42,43,44,46,48,50,52,55,58,73,79
115011252,4,6,17,20,21,26,34,37,38,50,53,58,59,60,62,63,65,69,70,78
115011253,1,5,6,12,13,15,20,21,23,35,38,39,41,49,57,58,60,67,73,76
115011254,2,5,10,11,12,17,27,38,39,43,46,49,59,60,64,68,69,70,71,77
115011255,7,13,15,18,19,23,26,28,34,48,49,52,59,66,67,69,71,72,74,77
115011256,1,6,9,11,19,20,22,29,34,37,42,49,56,57,59,63,65,75,77,78
115011257,1,6,7,19,20,24,30,37,41,43,44,45,48,49,52,64,65,71,75,79
115011258,7,9,13,23,24,33,38,39,40,41,42,43,49,52,56,59,62,66,68,76
115011259,5,6,12,19,20,24,28,31,33,36,37,38,39,59,60,61,62,66,70,74
115011260,2,6,9,16,21,25,26,30,31,32,36,39,49,50,54,57,59,66,69,74
115011261,1,3,8,10,12,15,18,21,22,23,28,30,34,38,40,43,56,58,70,71
115011262,4,5,7,9,11,13,26,31,34,36,41,43,49,53,59,62,66,69,75,80
115011263,2,3,4,10,22,29,30,35,37,46,49,56,57,58,59,61,67,70,72,73
115011264,3,4,5,7,11,13,16,27,31,32,33,34,42,48,50,51,54,62,76,80
115011265,4,5,8,14,16,19,21,26,27,28,35,36,43,47,50,51,55,63,75,79
115011266,1,2,7,14,15,17,18,20,23,35,38,42,46,50,55,56,69,71,73,75
115011267,1,4,6,9,12,23,24,25,27,28,39,43,45,52,57,58,60,63,72,74
115011268,2,6,7,8,10,14,16,18,20,22,41,43,44,45,59,63,68,69,75,80
115011269,2,6,7,12,13,14,17,38,41,44,49,56,57,62,70,72,73,74,75,80
115011270,1,2,5,12,16,21,22,25,27,28,30,33,35,40,42,57,58,60,61,71
115011271,3,9,10,12,19,22,31,34,35,37,38,46,55,56,57,59,64,68,70,71
115011272,1,2,3,5,6,8,14,20,26,31,36,42,44,48,53,55,65,69,75,76
115011273,1,2,3,4,5,7,12,21,22,23,25,36,39,43,47,48,56,61,70,80
115011274,2,3,4,5,16,33,34,41,45,46,47,48,49,53,62,66,70,71,75,77
115011275,2,7,14,15,19,22,23,24,30,32,33,35,36,37,62,63,64,66,74,78
115011276,8,27,28,29,30,32,35,36,39,42,44,45,50,51,59,65,66,67,69,77
115011277,6,7,18,20,21,24,28,29,33,35,43,45,50,55,59,62,64,68,70,74
115011278,2,3,6,7,12,22,24,28,29,33,37,38,42,45,46,55,57,76,77,80
115011279,3,4,7,22,28,30,32,33,42,44,45,46,53,56,58,61,69,70,72,77
115011280,3,5,9,11,12,17,18,23,25,40,41,43,44,45,48,49,54,59,62,80
